Test Number, WriteEnable, Reset, WriteReg, WriteData, ReadRegA, ReadRegB,DataRegA, DataRegB, ExpReadDataA, ExpReadDataB
29,1,0,28,  268435456,28,28,          1,          1,  268435456,  268435456
45,0,0,12,         -1,12,28,       4096,          1,       4096,  268435456
